scenario,r,eta,insu,v,proba,Keq,Kopt,K1,Weq,Wopt,W1,Weq_rel,Wopt_rel,W1_rel
1,0.04,0.5,0,0.125,0,477.1544113,477.1544113,323.5531693,44.53441218,44.53441218,33.00436545,1.258748359,1.284124087,1.056242501
2,0.04,0.5,0,0.125,0.001,351.9261255,351.8697848,323.5531693,43.94677493,43.94624658,32.99557841,1.242139014,1.267164671,1.055961289
3,0.04,0.5,0,0.125,0.002,351.9261255,351.7011547,323.5531693,43.90278416,43.90070069,32.98679138,1.240895632,1.265851382,1.055680076
4,0.04,0.5,0,0.125,0.003,351.9261255,351.4220581,323.5531693,43.8587934,43.85418126,32.97800434,1.239652249,1.264510021,1.055398864
5,0.04,0.5,0,0.125,0.004,351.9261255,351.0358515,323.5531693,43.81480263,43.80675109,32.96921731,1.238408867,1.263142399,1.055117651
6,0.04,0.5,0,0.125,0.005,351.9261255,350.5472491,323.5531693,43.77081186,43.75848053,32.96043027,1.237165485,1.261750545,1.054836439
7,0.04,0.5,0,0.125,0.006,351.9261255,349.9620581,323.5531693,43.7268211,43.709445,32.95164324,1.235922102,1.260336634,1.054555226
8,0.04,0.5,0,0.125,0.007,351.9261255,349.2868996,323.5531693,43.68283033,43.65972264,32.9428562,1.23467872,1.258902919,1.054274014
9,0.04,0.5,0,0.125,0.008,351.9261255,348.5289249,323.5531693,43.63883957,43.60939208,32.93406917,1.233435337,1.257451666,1.053992801
10,0.04,0.5,0,0.125,0.009,351.9261255,347.6955681,323.5531693,43.5948488,43.55853075,32.92528213,1.232191955,1.255985109,1.053711589
11,0.04,0.5,0,0.125,0.01,351.9261255,346.7942848,323.5531693,43.55085804,43.50721304,32.91649509,1.230948573,1.254505392,1.053430376
12,0.04,0.5,0,0.125,0.011,351.9261255,345.8323936,323.5531693,43.50686727,43.4555095,32.90770806,1.22970519,1.25301455,1.053149164
