Asset losses package ,Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
China,5968.922805643585,12759.942478098548,6000 (12%),13000 (17%)
Philippines,4766.6034861391445,9117.168140940463,4800 (17%),9100 (22%)
United States,4470.525405259132,8448.618710683952,4500 (11%),8400 (14%)
India,2555.8027366798074,5266.019812348976,2600 (14%),5300 (18%)
Japan,3226.239527367622,5097.02332723748,3200 (11%),5100 (13%)
Peru,842.8603941475916,4193.40634169424,840 (12%),4200 (23%)
Russian Federation,1751.77911271996,4049.6813491786525,1800 (28%),4000 (34%)
Colombia,797.9159363656997,3696.443171627947,800 (10%),3700 (21%)
Bangladesh,1518.0889411268042,3195.4571861398354,1500 (15%),3200 (21%)
Thailand,1206.6138980427704,3010.3115347335392,1200 (20%),3000 (25%)
"Iran, Islamic Rep.",958.4170408042793,2849.4888395681437,960 (12%),2800 (19%)
Italy,1260.1843269189148,2785.8544081720333,1300 (11%),2800 (16%)
Brazil,1311.5035700998892,2670.6395973810177,1300 (24%),2700 (30%)
Indonesia,974.8536451376247,1976.3125767321453,970 (13%),2000 (18%)
Vietnam,972.102122486104,1815.2928282635507,970 (14%),1800 (19%)
Turkey,469.0556520689325,1643.8391396230925,470 (11%),1600 (19%)
Pakistan,825.65830512324,1609.6932660058021,830 (17%),1600 (22%)
Greece,631.5934482537536,1535.9150329875458,630 (13%),1500 (19%)
Chile,368.56652367844197,1155.1736407222518,370 (10%),1200 (17%)
Argentina,357.37290595557545,1108.5491196168584,360 (11%),1100 (19%)
Ukraine,660.2897235867221,1001.437158359509,660 (28%),1000 (31%)
"Venezuela, RB",338.5491515988169,936.2397484639348,340 (10%),940 (17%)
Iraq,379.09273303172876,871.2196102401042,380 (15%),870 (20%)
France,473.2509624018545,871.1656406674165,470 (11%),870 (14%)
Mexico,318.0371154508481,817.0987533691597,320 (11%),820 (17%)
Ecuador,307.86510314131925,731.4582750723062,310 (9.6%),730 (15%)
Guatemala,89.6186122139107,729.026129802977,90 (12%),730 (25%)
Cambodia,259.176850266626,630.272022973528,260 (31%),630 (39%)
Malaysia,197.2891730284741,604.9609540708851,200 (9.5%),600 (17%)
Germany,374.3435052241492,546.4899839983844,370 (11%),550 (12%)
Madagascar,240.99341318500316,518.6102974420947,240 (22%),520 (29%)
Nigeria,144.86935640456772,450.48262035957333,140 (13%),450 (20%)
