Asset losses package (excluding early warnings),Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
China,4441.762430608146,10455.379605398239,4400 (8.9%),10000 (14%)
United States,3318.780357994537,6735.4259711690975,3300 (8.4%),6700 (11%)
Philippines,2687.492303956722,6240.988741344734,2700 (9.6%),6200 (15%)
Japan,2686.1527068344803,4405.423051549091,2700 (9%),4400 (12%)
India,1829.8538283321457,4111.923568207603,1800 (10%),4100 (14%)
Peru,801.9712297484426,4110.069496394833,800 (11%),4100 (23%)
Colombia,751.5011615375366,3587.4210438241653,750 (9.4%),3600 (20%)
Italy,1260.1843269189148,2785.8544081720333,1300 (11%),2800 (16%)
"Iran, Islamic Rep.",866.1854980326251,2685.532272310154,870 (11%),2700 (18%)
Bangladesh,1109.1956467181187,2575.5736317280766,1100 (11%),2600 (17%)
Thailand,965.8061954231148,2554.3248711276647,970 (16%),2600 (21%)
Russian Federation,700.7946958647995,2165.156982252687,700 (11%),2200 (18%)
Indonesia,768.5867761739569,1688.5362777758178,770 (9.9%),1700 (15%)
Turkey,455.11337384236714,1615.928163944933,460 (11%),1600 (19%)
Greece,631.5934482537536,1535.9150329875458,630 (13%),1500 (19%)
Vietnam,675.6266411835288,1421.4915706182899,680 (9.8%),1400 (15%)
Brazil,475.0394275437622,1328.0706955987482,480 (8.6%),1300 (15%)
Pakistan,527.1341556103248,1148.7921914342621,530 (11%),1100 (15%)
Chile,350.87468887865543,1123.9458412227698,350 (9.5%),1100 (16%)
Argentina,310.83239720692444,1028.0409793035888,310 (9.4%),1000 (18%)
France,473.2509624018545,871.1656406674165,470 (11%),870 (14%)
"Venezuela, RB",287.55259937068985,847.6672386241245,290 (8.7%),850 (16%)
Mexico,262.639206731843,727.0467508450685,260 (9.1%),730 (15%)
Guatemala,83.94233415246998,700.9804070380835,84 (12%),700 (24%)
Ecuador,277.496879797275,682.7434087820649,280 (8.6%),680 (14%)
Iraq,255.4730151789441,648.1124489879455,260 (10%),650 (15%)
Malaysia,197.2891730284741,604.9609540708851,200 (9.5%),600 (17%)
Germany,311.70148499228094,465.92907015487094,310 (9.2%),470 (11%)
Ukraine,247.35699366185187,436.5535103654456,250 (11%),440 (14%)
Honduras,86.57834350083316,399.5593027272813,87 (8.6%),400 (19%)
Cambodia,112.8286887662003,372.9421585924179,110 (13%),370 (23%)
Nigeria,98.64300113705468,357.77603070090555,99 (8.9%),360 (16%)
El Salvador,124.91948386107373,341.4039398141665,120 (9.7%),340 (17%)
Dominican Republic,128.915762009351,340.0307954890082,130 (8.9%),340 (15%)
Madagascar,110.83429704179645,314.1612971735158,110 (10%),310 (18%)
Australia,178.1890596766169,309.2309872097425,180 (8.9%),310 (11%)
South Africa,125.06897644575571,297.26097272269345,130 (8%),300 (10%)
Romania,163.40540573292327,294.4807375649297,160 (11%),290 (14%)
Kazakhstan,123.42033941060102,265.53980533553363,120 (12%),270 (16%)
Serbia,133.7943476459129,262.0234612001424,130 (10%),260 (15%)
Lao PDR,111.44601477318798,249.51071466286825,110 (10%),250 (16%)
Morocco,78.65293611590874,246.4195003709067,79 (12%),250 (19%)
Hungary,178.45352447364877,237.2755809113903,180 (8.6%),240 (9.1%)
Canada,127.12311953544402,225.50269798711608,130 (8.8%),230 (11%)
Poland,90.58606402516472,199.53143075742852,91 (12%),200 (16%)
United Kingdom,121.96560747507976,199.07723036424326,120 (8.6%),200 (10%)
"Egypt, Arab Rep.",81.24240264218747,194.71360076121974,81 (11%),190 (15%)
