"Postdisaster
support
package",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
China,0.0,1331.5400481089018,0 (0%),1300 (1.8%)
Peru,0.0,925.2655134895439,0 (0%),930 (5.1%)
Philippines,0.0,907.2290715748443,0 (0%),910 (2.2%)
Colombia,1.9073486328125e-12,751.3410332828331,0 (0%),750 (4.3%)
Thailand,0.0,710.3371354064636,0 (0%),710 (5.9%)
Russian Federation,0.0,666.6852292399005,0 (0%),670 (5.5%)
"Iran, Islamic Rep.",9.5367431640625e-13,614.4611332647438,0 (0%),610 (4.2%)
United States,-7.62939453125e-12,477.8242602279205,0 (0%),480 (0.8%)
Italy,0.0,455.6837092967701,0 (0%),460 (2.6%)
Greece,0.0,379.22902812255666,0 (0%),380 (4.6%)
Japan,0.0,337.31342693051147,0 (0%),340 (0.88%)
Bangladesh,0.0,336.9409175417652,0 (0%),340 (2.2%)
Brazil,0.0,300.1397360400858,0 (0%),300 (3.4%)
India,0.0,292.8999981240196,0 (0%),290 (1%)
Argentina,0.0,275.9384420377607,0 (0%),280 (4.7%)
"Venezuela, RB",0.0,254.59347293668174,0 (0%),250 (4.7%)
Turkey,-4.76837158203125e-13,210.770918179265,0 (0%),210 (2.5%)
Indonesia,9.5367431640625e-13,198.83130440324973,0 (0%),200 (1.8%)
Vietnam,-1.9073486328125e-12,189.47533444102478,0 (0%),190 (2%)
Angola,0.0,182.57576696308934,0 (0%),180 (24%)
Guatemala,0.0,165.5274141522498,0 (0%),170 (5.6%)
Pakistan,9.5367431640625e-13,156.40782034850503,0 (0%),160 (2.1%)
Ecuador,0.0,145.37477421983624,0 (0%),150 (3%)
Mexico,0.0,125.34980915890216,0 (0%),130 (2.5%)
Iraq,-4.76837158203125e-13,125.34525900050735,0 (0%),130 (2.8%)
Honduras,0.0,120.89504573513793,0 (0%),120 (5.6%)
Ukraine,0.0,109.72412704094123,0 (0%),110 (3.4%)
El Salvador,-2.384185791015625e-13,108.29703221855544,0 (0%),110 (5.5%)
France,9.5367431640625e-13,99.22691485643291,0 (0%),99 (1.6%)
Chile,0.0,97.57593810404586,0 (0%),98 (1.4%)
"Congo, Dem. Rep.",0.0,94.08345749609029,0 (0%),94 (11%)
Malaysia,0.0,92.20887524340725,0 (0%),92 (2.6%)
Madagascar,4.76837158203125e-13,68.83377578477477,0 (0%),69 (3.9%)
Serbia,2.384185791015625e-13,58.80105279045414,0 (0%),59 (3.3%)
Dominican Republic,0.0,55.76653671818733,0 (0%),56 (2.5%)
Nepal,0.0,55.64352801273584,0 (0%),56 (5.6%)
Romania,0.0,50.79966665806698,0 (0%),51 (2.4%)
Gabon,0.0,48.85922707163655,0 (0%),49 (10%)
"Egypt, Arab Rep.",0.0,43.136362932525394,0 (0%),43 (3.3%)
