Resilience Package + Early Warning Package,Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
China,1676.3532155937194,10706.814246382537,1700 (3.3%),11000 (14%)
Philippines,2298.859665409195,8708.687042997326,2300 (8.2%),8700 (21%)
United States,1257.1826770028838,7988.912394115409,1300 (3.2%),8000 (13%)
India,807.7408900369987,5851.674966203632,810 (4.5%),5900 (20%)
Peru,45.86429593617248,5366.132278954662,46 (0.63%),5400 (30%)
Colombia,51.46898721539593,4958.916463968639,51 (0.65%),5000 (28%)
Russian Federation,1181.7849244164715,4073.1907204302374,1200 (19%),4100 (34%)
Japan,594.1637792232056,3833.7820516987304,590 (2%),3800 (10%)
Bangladesh,459.05091894153594,3604.235063323074,460 (4.5%),3600 (23%)
"Iran, Islamic Rep.",103.35499315778922,2900.471326157877,100 (1.3%),2900 (20%)
Brazil,915.6373804800853,2721.4501415921704,920 (17%),2700 (31%)
Thailand,286.04212827295873,2701.1199894303054,290 (4.7%),2700 (23%)
Italy,-1.9073486328125e-12,2019.0909058055229,0 (0%),2000 (11%)
Indonesia,228.9721143709917,1850.2517139502695,230 (3%),1900 (16%)
Pakistan,335.00381150618267,1828.0487086841133,340 (6.9%),1800 (25%)
Turkey,15.702679232337951,1641.73661981783,16 (0.38%),1600 (19%)
Vietnam,328.58322076397417,1557.9386464366148,330 (4.8%),1600 (16%)
Argentina,51.4329280655818,1283.3888467868767,51 (1.6%),1300 (22%)
Greece,0.0,1175.663432745512,0 (0%),1200 (14%)
Iraq,137.86040355286312,1123.073898585464,140 (5.5%),1100 (25%)
"Venezuela, RB",56.03053841370821,1111.3773231054945,56 (1.7%),1100 (21%)
Guatemala,6.469443607308865,1025.5128638078875,6.5 (0.9%),1000 (35%)
Chile,19.56423845930767,972.7462736251659,20 (0.53%),970 (14%)
Ukraine,461.9881292918472,962.022013869534,460 (20%),960 (30%)
Mexico,60.93719609974241,811.2898794038891,61 (2.1%),810 (16%)
Ecuador,33.361401940986156,729.3357062839356,33 (1%),730 (15%)
Malaysia,-2.384185791015625e-13,692.4419118921361,0 (0%),690 (20%)
Cambodia,168.91389925366556,678.4768613510728,170 (20%),680 (42%)
