Develop contingent finance and reserve funds,Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
China,0.0,470.91109779759216,0 (0%),470 (0.63%)
Philippines,0.0,438.74573299755855,0 (0%),440 (1.1%)
Colombia,0.0,307.39950009693524,0 (0%),310 (1.7%)
Italy,0.0,282.8838340541839,0 (0%),280 (1.6%)
"Iran, Islamic Rep.",0.0,266.93079518524166,0 (0%),270 (1.8%)
Greece,0.0,253.2777357367048,0 (0%),250 (3.1%)
Peru,0.0,221.4319708892288,0 (0%),220 (1.2%)
Thailand,0.0,215.42553324495123,0 (0%),220 (1.8%)
Brazil,0.0,213.7789073009777,0 (0%),210 (2.4%)
Argentina,0.0,165.42588560116099,0 (0%),170 (2.8%)
India,0.0,160.9334261173172,0 (0%),160 (0.56%)
Bangladesh,0.0,154.45178212362862,0 (0%),150 (1%)
Japan,0.0,136.1030034734268,0 (0%),140 (0.36%)
Turkey,0.0,135.62692925092887,0 (0%),140 (1.6%)
Ecuador,0.0,94.83867776194191,0 (0%),95 (1.9%)
United States,0.0,85.50845459693909,0 (0%),86 (0.14%)
Indonesia,0.0,83.63232451071357,0 (0%),84 (0.74%)
Pakistan,0.0,77.49438942481326,0 (0%),77 (1%)
Vietnam,0.0,58.838725883842464,0 (0%),59 (0.62%)
El Salvador,0.0,47.404620170693875,0 (0%),47 (2.4%)
Malaysia,0.0,41.89204771005773,0 (0%),42 (1.2%)
Guatemala,0.0,41.640723236698626,0 (0%),42 (1.4%)
Madagascar,0.0,33.73437362427187,0 (0%),34 (1.9%)
Mexico,0.0,25.283158238459585,0 (0%),25 (0.51%)
Nepal,0.0,24.227532532451033,0 (0%),24 (2.4%)
Dominican Republic,0.0,22.82598402209282,0 (0%),23 (1%)
Morocco,0.0,22.031831850592614,0 (0%),22 (1.7%)
Serbia,0.0,21.910444361062765,0 (0%),22 (1.2%)
Chile,0.0,21.80086206891918,0 (0%),22 (0.32%)
"Congo, Dem. Rep.",0.0,21.79563999351096,0 (0%),22 (2.4%)
Kenya,0.0,20.80194294837117,0 (0%),21 (3.7%)
Honduras,0.0,19.918538004734515,0 (0%),20 (0.92%)
"Egypt, Arab Rep.",0.0,19.31027007855487,0 (0%),19 (1.5%)
Nigeria,0.0,17.641585571477414,0 (0%),18 (0.77%)
Iraq,0.0,16.022947379007338,0 (0%),16 (0.36%)
Zambia,0.0,14.589662642495005,0 (0%),15 (5.3%)
Romania,0.0,14.478282303819656,0 (0%),14 (0.69%)
Syrian Arab Republic,0.0,13.12508828439343,0 (0%),13 (1.9%)
Lao PDR,0.0,12.987949446156263,0 (0%),13 (0.86%)
Gabon,0.0,12.473891513424038,0 (0%),12 (2.6%)
Bolivia,0.0,11.001413561982393,0 (0%),11 (1.7%)
France,0.0,10.696949161643982,0 (0%),11 (0.18%)
Hungary,0.0,10.615439037412642,0 (0%),11 (0.41%)
South Africa,0.0,10.51844222624445,0 (0%),11 (0.37%)
Belarus,0.0,10.28734871225512,0 (0%),10 (1.1%)
Jamaica,0.0,9.440324538723468,0 (0%),9.4 (1.6%)
Spain,0.0,9.326316512279034,0 (0%),9.3 (0.83%)
Kazakhstan,0.0,8.66136325655651,0 (0%),8.7 (0.53%)
Tanzania,0.0,7.875823385152578,0 (0%),7.9 (1.4%)
Mauritania,0.0,7.118562422708541,0 (0%),7.1 (4%)
Cameroon,0.0,7.026946416804969,0 (0%),7 (2%)
Tajikistan,0.0,6.847610723470568,0 (0%),6.8 (1.6%)
Poland,0.0,6.254368873497247,0 (0%),6.3 (0.5%)
Malawi,0.0,6.201638871967882,0 (0%),6.2 (3%)
Croatia,0.0,6.155510680265427,0 (0%),6.2 (0.92%)
Canada,0.0,6.13687901210761,0 (0%),6.1 (0.3%)
Germany,0.0,5.606672126753807,0 (0%),5.6 (0.13%)
Costa Rica,0.0,5.396670791452169,0 (0%),5.4 (1.1%)
Benin,0.0,5.010403856009617,0 (0%),5 (5.3%)
Panama,0.0,4.9101746110965605,0 (0%),4.9 (1.5%)
"Yemen, Rep.",0.0,4.583090068066835,0 (0%),4.6 (0.72%)
Austria,0.0,4.579593937546014,0 (0%),4.6 (0.38%)
Australia,0.0,4.497676955761909,0 (0%),4.5 (0.16%)
Ghana,0.0,4.472799743144988,0 (0%),4.5 (1.5%)
