"Reduce exposure
of the poor by 5%
of total exposure",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
China,593.144978343338,4786.402840094116,590 (1.2%),4800 (6.4%)
Philippines,571.5573278269538,3323.6588950723876,570 (2%),3300 (8.2%)
Peru,265.3662053367052,2867.839325809467,270 (3.7%),2900 (16%)
Colombia,145.36835455977726,2341.526630914074,150 (1.8%),2300 (13%)
United States,274.0494724962463,2254.0634290931853,270 (0.69%),2300 (3.8%)
India,460.66411918355556,1972.3104385278968,460 (2.5%),2000 (6.8%)
Thailand,535.7496251467924,1719.411088190134,540 (8.8%),1700 (14%)
"Iran, Islamic Rep.",260.569374345355,1644.8653399706247,260 (3.2%),1600 (11%)
Japan,423.85326417409897,1533.8218734124907,420 (1.4%),1500 (4%)
Italy,382.5726620295086,1505.4873288228855,380 (3.2%),1500 (8.6%)
Bangladesh,357.37198938202476,1455.9962526937752,360 (3.5%),1500 (9.4%)
Russian Federation,230.6749936038084,1329.5280003243522,230 (3.6%),1300 (11%)
Turkey,151.64592890713308,1019.8183414328012,150 (3.7%),1000 (12%)
Greece,264.5568780632419,956.0873440575562,260 (5.2%),960 (12%)
Indonesia,189.97396814264107,883.5564066638927,190 (2.5%),880 (7.9%)
Vietnam,162.65192619276428,744.8754529968948,160 (2.4%),740 (7.8%)
Brazil,49.59090368854046,658.9961154567976,50 (0.9%),660 (7.4%)
Chile,71.91676339224433,635.7332434569225,72 (1.9%),640 (9.3%)
Argentina,60.582339793337816,608.2931487477979,61 (1.8%),610 (10%)
Pakistan,163.08664036285495,599.343357206994,160 (3.4%),600 (8%)
Guatemala,30.68782268471968,509.7973621267786,31 (4.3%),510 (17%)
"Venezuela, RB",34.90509581332159,452.27104258721255,35 (1.1%),450 (8.4%)
France,151.31168186900234,428.3445100688734,150 (3.5%),430 (7.1%)
Mexico,46.38454192387724,372.49890064208984,46 (1.6%),370 (7.5%)
Malaysia,37.433639595572,348.3478796638694,37 (1.8%),350 (9.8%)
Ecuador,31.474327536842345,317.3143825808506,31 (0.98%),320 (6.5%)
Iraq,62.15788028738832,316.98472713008545,62 (2.5%),320 (7.1%)
Cambodia,54.54024398339045,269.5189453588438,55 (6.5%),270 (17%)
Honduras,9.933035369956851,247.3982282053666,9.9 (0.99%),250 (11%)
Ukraine,71.44777113650846,200.21103122005272,71 (3.1%),200 (6.3%)
Nigeria,15.390975351218461,194.29143804973745,15 (1.4%),190 (8.5%)
El Salvador,28.029348318126914,190.72710757191967,28 (2.2%),190 (9.6%)
Madagascar,28.204716659665582,186.72083256312894,28 (2.5%),190 (10%)
Dominican Republic,19.223154426812172,176.98016954118322,19 (1.3%),180 (7.8%)
Morocco,27.7687828594445,150.8594278924141,28 (4.1%),150 (11%)
Kazakhstan,47.7943236905992,148.82444485271452,48 (4.7%),150 (9.1%)
Lao PDR,29.89951332778239,143.41087946408223,30 (2.7%),140 (9.5%)
Romania,50.79772971513915,139.71235561860132,51 (3.4%),140 (6.6%)
Germany,52.30356211288738,133.7700198152232,52 (1.5%),130 (3%)
Serbia,37.10978854579067,128.87316319687795,37 (2.9%),130 (7.2%)
Poland,35.77454867076039,112.1562665693891,36 (4.7%),110 (9%)
Australia,23.113107661107062,96.31585750878239,23 (1.1%),96 (3.5%)
"Egypt, Arab Rep.",22.614776772118567,95.93069766536568,23 (3%),96 (7.4%)
Nepal,26.237654816835878,92.4795057642796,26 (4.2%),92 (9.3%)
Uzbekistan,15.10434380975443,92.08643054526638,15 (4%),92 (11%)
Austria,33.69855167948615,83.69958932015753,34 (3.8%),84 (6.9%)
South Africa,3.1761609788532255,79.19066215711928,3.2 (0.2%),79 (2.8%)
"Congo, Dem. Rep.",8.170185591323136,72.73393098768281,8.2 (1.8%),73 (8.1%)
