"Reduce
exposure of the nonpoor by 5%
of total exposure",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
China,3017.2415685160827,3515.0071762908783,3000 (6%),3500 (4.7%)
United States,2422.8644610307233,3183.660660325943,2400 (6.1%),3200 (5.3%)
Japan,1758.7045541501807,2022.1576895958938,1800 (5.9%),2000 (5.3%)
Philippines,1613.0261536886214,1724.921548306282,1600 (5.7%),1700 (4.2%)
India,1023.9135796581287,1309.3042374382667,1000 (5.7%),1300 (4.5%)
Italy,642.1945639897099,734.7276798847217,640 (5.4%),730 (4.2%)
Bangladesh,545.0152596205063,605.8087043340321,550 (5.4%),610 (3.9%)
Colombia,465.0989357533655,513.0297758563461,470 (5.8%),510 (2.9%)
"Iran, Islamic Rep.",443.6198707533293,510.2114098765163,440 (5.5%),510 (3.5%)
Indonesia,435.20763834346195,486.0102935865917,440 (5.6%),490 (4.3%)
Peru,387.43942056233976,434.19044677843476,390 (5.3%),430 (2.4%)
Russian Federation,338.6872133235321,418.7529015783863,340 (5.3%),420 (3.5%)
Vietnam,387.6866227662544,417.070952559576,390 (5.6%),420 (4.4%)
Brazil,336.9230070911274,387.7958109653559,340 (6.1%),390 (4.4%)
Pakistan,264.18978971852874,313.2283393719511,260 (5.4%),310 (4.2%)
Thailand,241.75326848160458,300.15816486326406,240 (4%),300 (2.5%)
Greece,249.53841593341446,284.99394690246965,250 (4.9%),280 (3.4%)
Turkey,218.43426659659002,279.3582016166687,220 (5.3%),280 (3.3%)
Chile,213.2329856407113,273.3868126999349,210 (5.8%),270 (4%)
France,232.45130423880576,270.4232738521461,230 (5.4%),270 (4.5%)
Germany,200.94957034528636,242.97089326845503,200 (5.9%),240 (5.5%)
Ecuador,194.02908267783354,225.56119627525044,190 (6%),230 (4.6%)
"Venezuela, RB",198.72748029448653,222.31909517203522,200 (6%),220 (4.1%)
Mexico,167.06586633710145,217.3944945290966,170 (5.8%),220 (4.4%)
Argentina,191.94767922704125,210.08972822463798,190 (5.8%),210 (3.6%)
Iraq,144.58050269684028,194.39809331992768,140 (5.8%),190 (4.4%)
Hungary,131.6209290328846,162.1099218131728,130 (6.3%),160 (6.2%)
South Africa,98.57248039091205,159.79277876420116,99 (6.3%),160 (5.6%)
Australia,121.77360064312195,151.3455079487934,120 (6.1%),150 (5.4%)
Ukraine,128.9301661418891,148.04551240883683,130 (5.5%),150 (4.6%)
Malaysia,122.76306825337218,132.27747666822242,120 (5.9%),130 (3.7%)
Canada,87.22320218566513,112.1030076768558,87 (6.1%),110 (5.5%)
United Kingdom,86.0847423847127,110.22687053059721,86 (6.1%),110 (5.6%)
Dominican Republic,85.51036338020897,98.15771728057956,86 (5.9%),98 (4.3%)
Romania,81.66713378099035,96.59325941047214,82 (5.4%),97 (4.6%)
Nigeria,64.7480432704885,95.41081076314735,65 (5.9%),95 (4.2%)
Serbia,71.37379259228872,79.49117900477839,71 (5.6%),79 (4.4%)
El Salvador,73.48714146411919,76.50551315967655,73 (5.7%),77 (3.9%)
Honduras,60.40927296642172,72.8304924152255,60 (6%),73 (3.4%)
Madagascar,62.038309038226245,66.3235931230588,62 (5.6%),66 (3.7%)
Kazakhstan,51.95451535554003,63.6574625416553,52 (5.1%),64 (3.9%)
Lao PDR,61.17458290139687,61.766518406366586,61 (5.5%),62 (4.1%)
Spain,53.84825575639665,59.98327625854098,54 (6%),60 (5.3%)
Austria,46.94897022217405,55.14996407009434,47 (5.3%),55 (4.6%)
"Egypt, Arab Rep.",42.65413149211645,54.82606657710767,43 (5.7%),55 (4.2%)
Guatemala,37.4373927162013,52.910131092784404,37 (5.2%),53 (1.8%)
Poland,38.17663966719079,50.74635427558708,38 (5.1%),51 (4.1%)
Cambodia,40.05577452191925,47.01621226697612,40 (4.7%),47 (2.9%)
Netherlands,39.79940762968469,45.74351180236172,40 (5.8%),46 (5.2%)
Morocco,35.70066487437713,42.35580553109169,36 (5.3%),42 (3.2%)
Belarus,31.06421109345424,39.38139237144315,31 (5.3%),39 (4.3%)
Azerbaijan,25.23044004864782,39.3501503077929,25 (6.1%),39 (5.9%)
Nepal,33.03590126678967,36.11688084579408,33 (5.3%),36 (3.6%)
Croatia,28.552521274223565,33.31679167451572,29 (5.8%),33 (5%)
"Congo, Dem. Rep.",29.72866140680927,31.436977803735612,30 (6.5%),31 (3.5%)
Czech Republic,27.01922801707566,30.84249207047546,27 (5.3%),31 (4.5%)
Uzbekistan,19.76216878476149,30.197958517509818,20 (5.3%),30 (3.5%)
Slovak Republic,24.853118169585944,29.476645123959777,25 (5.4%),29 (4.7%)
"Yemen, Rep.",28.068874711735663,28.730246381528136,28 (5.8%),29 (4.5%)
Syrian Arab Republic,25.87460232360363,27.839758787481546,26 (5.5%),28 (3.9%)
Georgia,18.452715330682157,26.80579774923843,18 (6.2%),27 (6.2%)
Angola,20.394894032124906,24.385094005197047,20 (8.5%),24 (3.2%)
Bolivia,18.88117432188177,24.374376546076057,19 (6%),24 (3.8%)
Israel,18.755895337412355,24.172886560571015,19 (6%),24 (4.8%)
Jamaica,19.612764491576613,23.717785726159928,20 (5.8%),24 (3.9%)
Sri Lanka,19.888995711297927,22.830934184934495,20 (5.6%),23 (4.6%)
Costa Rica,15.014427096714318,21.486933000146628,15 (5.9%),21 (4.3%)
Kenya,17.3346279996807,21.418391904772875,17 (6.6%),21 (3.8%)
Tanzania,18.082834599784313,20.947550126675246,18 (5.5%),21 (3.8%)
Slovenia,17.813681281312167,20.91249223897344,18 (5.6%),21 (5%)
Belgium,17.247070429041443,19.754214559305787,17 (5.8%),20 (5.1%)
Bulgaria,15.252236886925935,19.50850230833924,15 (5.8%),20 (5.1%)
Latvia,15.566950717080145,18.179360288052738,16 (5.5%),18 (4.2%)
Sudan,11.476506665161073,17.573767313530325,11 (5.5%),18 (4.2%)
Lithuania,12.390461169428884,16.080546808033287,12 (6.1%),16 (5.6%)
Albania,15.152222898749649,15.957933194515704,15 (5.3%),16 (3.9%)
Tajikistan,12.473923212863982,15.355547051854431,12 (5.1%),15 (3.5%)
Gabon,12.562593086765647,15.025991701843857,13 (6.1%),15 (3.1%)
Bosnia and Herzegovina,12.491148160929978,14.267201781114398,12 (5.6%),14 (4%)
Ghana,10.968909561138064,13.535916719453454,11 (6.1%),14 (4.6%)
Panama,10.089778180478632,13.309387402921377,10 (6.3%),13 (4.1%)
Ireland,9.249211874699652,11.767233158415495,9.2 (6.1%),12 (5.8%)
Armenia,9.431866737834513,11.67067901661402,9.4 (5.8%),12 (5.1%)
Cameroon,9.430352000056237,11.460725490228235,9.4 (5.8%),11 (3.3%)
Kyrgyz Republic,7.798797386245131,11.365538584877669,7.8 (5.3%),11 (4.2%)
Jordan,9.148459903614015,9.91112953507465,9.1 (5.6%),9.9 (4.5%)
Uganda,6.588569684104025,9.700580993812501,6.6 (6.2%),9.7 (4.5%)
"Congo, Rep.",8.437186287388146,9.497749816257953,8.4 (5.6%),9.5 (3.2%)
Zambia,7.240204389352023,9.308885665635467,7.2 (6.6%),9.3 (3.4%)
Moldova,7.897248350842475,9.066673802267044,7.9 (5.4%),9.1 (4.7%)
