"Increase
income of the
poor 10%",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Colombia,-60.384688627457614,268.1974569468498,-60 (-0.76%),270 (1.5%)
China,-250.24968763000487,264.87713434364315,-250 (-0.5%),260 (0.35%)
Peru,-105.09580213997555,187.1230155124588,-110 (-1.4%),190 (1%)
Philippines,-227.64447857113265,143.52117925318146,-230 (-0.81%),140 (0.35%)
Brazil,-21.481281164610863,74.61658278822708,-21 (-0.39%),75 (0.84%)
United States,-112.21270911186218,71.91793309439086,-110 (-0.28%),72 (0.12%)
"Venezuela, RB",-14.200333359635353,47.415773966501234,-14 (-0.43%),47 (0.88%)
Argentina,-24.896697814315793,42.25358935924911,-25 (-0.75%),42 (0.73%)
Bangladesh,-142.63410908470343,40.975847215774536,-140 (-1.4%),41 (0.27%)
Malaysia,-16.20106970863557,33.02696810720205,-16 (-0.78%),33 (0.93%)
Guatemala,-12.696921906051397,28.667928653171536,-13 (-1.8%),29 (0.98%)
Ecuador,-12.933139803045272,27.63534748356819,-13 (-0.4%),28 (0.57%)
Honduras,-4.037716380569458,21.32322413924694,-4 (-0.4%),21 (0.99%)
Nigeria,-5.967510698265076,16.999768911993026,-6 (-0.54%),17 (0.74%)
"Iran, Islamic Rep.",-105.07540798078728,16.713668779964447,-110 (-1.3%),17 (0.11%)
Dominican Republic,-7.6583663015031815,14.728285382786273,-7.7 (-0.53%),15 (0.65%)
Cambodia,-16.362298158900618,14.278477747807502,-16 (-1.9%),14 (0.89%)
"Congo, Dem. Rep.",-5.283990168200075,14.02632168859434,-5.3 (-1.2%),14 (1.6%)
Madagascar,-10.809969847345828,12.137597241722107,-11 (-0.97%),12 (0.68%)
Angola,-5.771835406903386,10.168447188170314,-5.8 (-2.4%),10 (1.3%)
South Africa,-1.3260166501939297,9.962763168104171,-1.3 (-0.08%),10 (0.35%)
Indonesia,-74.77649744567013,8.937174253665924,-75 (-0.97%),8.9 (0.08%)
El Salvador,-11.341744149682283,7.845321768041372,-11 (-0.88%),7.8 (0.4%)
Kenya,-2.635255303790271,7.646291437316894,-2.6 (-1%),7.6 (1.3%)
Vietnam,-60.69047945592022,5.725914523527145,-61 (-0.88%),5.7 (0.06%)
Lao PDR,-10.432825780943393,4.0165901018040175,-10 (-0.94%),4 (0.26%)
Panama,-0.7331010001591741,3.7248588341966866,-0.73 (-0.46%),3.7 (1.2%)
Zambia,-1.0335118355423063,3.700076403262496,-1 (-0.95%),3.7 (1.3%)
Mauritania,-1.875609413463004,3.267271057137668,-1.9 (-3%),3.3 (1.8%)
Iraq,-28.620501665282724,3.246512875502586,-29 (-1.1%),3.2 (0.07%)
Tanzania,-3.4846870171265603,3.163528005576372,-3.5 (-1.1%),3.2 (0.57%)
Cameroon,-2.577713252299368,2.9730682758830187,-2.6 (-1.6%),3 (0.85%)
Bolivia,-1.6354733267183899,2.9651183311794993,-1.6 (-0.52%),3 (0.46%)
Syrian Arab Republic,-5.267365920610786,2.8345006010648013,-5.3 (-1.1%),2.8 (0.4%)
Malawi,-1.0498223513829559,2.425997753002435,-1 (-0.84%),2.4 (1.2%)
Jamaica,-2.7799094047248363,2.280565674184084,-2.8 (-0.82%),2.3 (0.38%)
"Congo, Rep.",-1.7934299935609996,2.2378497550655005,-1.8 (-1.2%),2.2 (0.75%)
Mali,-1.5146796391144917,2.172434978198111,-1.5 (-2.4%),2.2 (1.4%)
Gabon,-4.069489384113908,2.1613407276833057,-4.1 (-2%),2.2 (0.45%)
Niger,-2.4453222357923834,1.7306003843687474,-2.4 (-2.7%),1.7 (1%)
Botswana,-0.23493971755686402,1.5397283313274084,-0.23 (-0.26%),1.5 (1%)
Ghana,-0.9925186134016811,1.5197860536452532,-0.99 (-0.56%),1.5 (0.52%)
Paraguay,-0.7902601044389456,1.4636171920475363,-0.79 (-0.77%),1.5 (0.73%)
Chad,-0.37564159755644944,1.4107348733329028,-0.38 (-0.59%),1.4 (1.1%)
Spain,-4.617454195887446,1.2780598518347739,-4.6 (-0.52%),1.3 (0.11%)
Lesotho,-0.146350771347709,1.1522118237984627,-0.15 (-0.29%),1.2 (1.4%)
Benin,-0.656174849081628,1.1502318540060519,-0.66 (-1.4%),1.2 (1.2%)
Israel,-1.1572251643520592,1.1369595775563717,-1.2 (-0.37%),1.1 (0.23%)
Sudan,-1.2617233962684868,0.9676067709585428,-1.3 (-0.61%),0.97 (0.23%)
"Yemen, Rep.",-3.77449460043925,0.8429137046544551,-3.8 (-0.78%),0.84 (0.13%)
Swaziland,-0.31166598974698034,0.7723366770063191,-0.31 (-0.71%),0.77 (0.99%)
"Egypt, Arab Rep.",-11.52202072652912,0.6013508155612945,-12 (-1.5%),0.6 (0.05%)
Bosnia and Herzegovina,-2.3106259021447895,0.5625257993329763,-2.3 (-1%),0.56 (0.16%)
Central African Republic,-0.07134510339170694,0.4888671906091869,-0.07 (-0.48%),0.49 (1.7%)
Togo,-0.14523428140884265,0.43285889843721687,-0.15 (-0.49%),0.43 (0.87%)
Guinea,-0.6370267761134804,0.42258260685169696,-0.64 (-1%),0.42 (0.42%)
Rwanda,-0.16859483313994855,0.30960279448881745,-0.17 (-0.28%),0.31 (0.31%)
Uruguay,-0.36730359502516685,0.2790740363028273,-0.37 (-0.94%),0.28 (0.42%)
Sri Lanka,-2.415313827397883,0.24309107133185862,-2.4 (-0.69%),0.24 (0.05%)
Burkina Faso,-0.22511622210668772,0.2211687137798965,-0.23 (-0.35%),0.22 (0.24%)
Senegal,-0.2682176026599407,0.1622541846472621,-0.27 (-0.51%),0.16 (0.24%)
Sierra Leone,-0.3961327101154476,0.15105445410120485,-0.4 (-0.81%),0.15 (0.2%)
Liberia,-0.0834658447487969,0.0927290058039464,-0.08 (-0.73%),0.09 (0.49%)
Burundi,-0.3949726133616753,0.07039086604508757,-0.39 (-1.4%),0.07 (0.15%)
Djibouti,-0.06167843027848098,0.025296060988150536,-0.06 (-0.97%),0.03 (0.24%)
Denmark,-0.07752938856853545,-0.06142752834668569,-0.08 (-0.62%),-0.06 (-0.4%)
United Kingdom,-5.377458217580795,-0.12837335573625563,-5.4 (-0.38%),-0.13 (-0.01%)
Montenegro,-0.1617881911787018,-0.16686412260949238,-0.16 (-0.79%),-0.17 (-0.54%)
Morocco,-12.377330799354315,-0.2766997823009491,-12 (-1.8%),-0.28 (-0.02%)
