"Develop market
insurance
(nonpoor people)",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
China,0.0,3402.2798629315794,0 (0%),3400 (4.5%)
United States,0.0,1986.061243000244,0 (0%),2000 (3.3%)
Japan,0.0,1468.1930319931946,0 (0%),1500 (3.8%)
Philippines,0.0,1264.2600640723724,0 (0%),1300 (3.1%)
India,0.0,981.948700118946,0 (0%),980 (3.4%)
Bangladesh,0.0,557.3601599746398,0 (0%),560 (3.6%)
Italy,0.0,504.86570719771385,0 (0%),500 (2.9%)
Brazil,0.0,393.4869794048271,0 (0%),390 (4.4%)
"Iran, Islamic Rep.",0.0,382.20774136533737,0 (0%),380 (2.6%)
Colombia,0.0,369.08270246020504,0 (0%),370 (2.1%)
Indonesia,0.0,349.7949880621414,0 (0%),350 (3.1%)
Vietnam,0.0,308.36579139397236,0 (0%),310 (3.2%)
Peru,0.0,284.0648074811096,0 (0%),280 (1.6%)
Pakistan,0.0,275.5612199082594,0 (0%),280 (3.7%)
"Venezuela, RB",0.0,253.7388397196884,0 (0%),250 (4.7%)
Ecuador,0.0,251.0512181187515,0 (0%),250 (5.2%)
Russian Federation,0.0,245.94159460357284,0 (0%),250 (2%)
Argentina,0.0,188.3172330983801,0 (0%),190 (3.2%)
France,0.0,176.4913168273821,0 (0%),180 (2.9%)
Greece,0.0,173.68879893355654,0 (0%),170 (2.1%)
Turkey,0.0,165.41359337759113,0 (0%),170 (1.9%)
Thailand,0.0,157.39328167147445,0 (0%),160 (1.3%)
Germany,0.0,155.87571562484692,0 (0%),160 (3.5%)
Chile,0.0,147.10499036129093,0 (0%),150 (2.1%)
Iraq,0.0,143.34196907051182,0 (0%),140 (3.2%)
Mexico,0.0,135.96045266032792,0 (0%),140 (2.8%)
Ukraine,0.0,132.89182166726445,0 (0%),130 (4.2%)
Australia,0.0,125.2821478134508,0 (0%),130 (4.5%)
Hungary,0.0,105.15503824619864,0 (0%),110 (4%)
El Salvador,0.0,103.59740825769138,0 (0%),100 (5.2%)
South Africa,0.0,102.69261124549436,0 (0%),100 (3.6%)
Malaysia,0.0,95.67596664116239,0 (0%),96 (2.7%)
Serbia,0.0,73.32741108028912,0 (0%),73 (4.1%)
Canada,0.0,70.47054815336966,0 (0%),70 (3.4%)
Dominican Republic,0.0,69.40787713968562,0 (0%),69 (3.1%)
Romania,0.0,67.41063765388297,0 (0%),67 (3.2%)
Madagascar,0.0,65.32422967517995,0 (0%),65 (3.7%)
United Kingdom,0.0,63.65452549319338,0 (0%),64 (3.3%)
Nigeria,0.0,60.33313285156345,0 (0%),60 (2.6%)
Lao PDR,0.0,57.5189477811265,0 (0%),58 (3.8%)
