"Universal
access to early
warnings",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Philippines,2298.859665409195,3403.684778199264,2300 (8.2%),3400 (8.4%)
China,1676.3532155937194,2682.735122799438,1700 (3.3%),2700 (3.6%)
Russian Federation,1181.7849244164715,2302.124399385967,1200 (19%),2300 (19%)
United States,1257.1826770028838,1931.8591697558822,1300 (3.2%),1900 (3.2%)
Brazil,915.6373804800853,1584.220098414937,920 (17%),1600 (18%)
India,807.7408900369987,1347.824194253914,810 (4.5%),1300 (4.7%)
Japan,594.1637792232056,781.9358603540192,590 (2%),780 (2%)
Bangladesh,459.050918941534,747.9799883187733,460 (4.5%),750 (4.8%)
Ukraine,461.988129291847,656.3716587582215,460 (20%),660 (21%)
Thailand,286.0421282729597,582.4928551125831,290 (4.7%),580 (4.9%)
Pakistan,335.0038115061817,546.6332192535352,340 (6.9%),550 (7.3%)
Vietnam,328.5832207639732,463.6381442757931,330 (4.8%),460 (4.9%)
Indonesia,228.97211437099074,339.02468072119905,230 (3%),340 (3%)
Cambodia,168.91389925366556,337.960757147321,170 (20%),340 (21%)
Iraq,137.86040355286312,261.8383232986264,140 (5.5%),260 (5.9%)
Madagascar,144.5812319406148,249.78844865701697,140 (13%),250 (14%)
"Iran, Islamic Rep.",103.35499315778827,200.95232386021422,100 (1.3%),200 (1.4%)
Serbia,135.38983540631054,200.10377103388024,140 (11%),200 (11%)
Angola,46.001505647370216,160.32511092396163,46 (19%),160 (21%)
South Africa,74.69526404826044,141.04456482620142,75 (4.7%),140 (4.9%)
Lao PDR,98.63441396069658,140.77286937648557,99 (8.9%),140 (9.3%)
Colombia,51.468987215394016,135.38635101851273,51 (0.65%),140 (0.77%)
"Congo, Dem. Rep.",54.92770064294111,123.5822455821377,55 (12%),120 (14%)
Nepal,65.75826242967081,110.58916569496357,66 (10%),110 (11%)
Peru,45.86429593617248,110.17007474690246,46 (0.63%),110 (0.61%)
Nigeria,50.762860022529956,110.10216731492757,51 (4.6%),110 (4.8%)
Mexico,60.937196099742884,105.8120904385624,61 (2.1%),110 (2.1%)
"Venezuela, RB",56.03053841370821,105.53059590552711,56 (1.7%),110 (2%)
Argentina,51.43292806558132,98.15220187708186,51 (1.6%),98 (1.7%)
Germany,69.01651679743529,90.1929038527584,69 (2%),90 (2.1%)
Latvia,56.5886529340029,88.52392505682582,57 (20%),89 (20%)
Canada,58.98476282254958,85.68342232572007,59 (4.1%),86 (4.2%)
Gabon,33.936191537474,84.79595488238716,34 (16%),85 (17%)
Kenya,30.1164367144759,70.550853390891,30 (11%),71 (12%)
Dominican Republic,40.994623432104106,66.09100688220596,41 (2.8%),66 (2.9%)
"Congo, Rep.",29.835621484496563,61.97742345804724,30 (20%),62 (21%)
Romania,42.485412493549106,61.136631882835864,42 (2.8%),61 (2.9%)
Lithuania,40.443392061423005,58.22137558931422,40 (20%),58 (20%)
Ecuador,33.361401940986156,56.83633006629562,33 (1%),57 (1.2%)
Bosnia and Herzegovina,33.710750438792736,56.80104345750028,34 (15%),57 (16%)
"Yemen, Rep.",39.46705654081243,54.43578521202099,39 (8.1%),54 (8.6%)
Spain,37.99716395009613,48.114800498685,38 (4.3%),48 (4.3%)
Honduras,19.199087292763114,45.36074180436444,19 (1.9%),45 (2.1%)
Belarus,27.878778010889647,44.51032916143262,28 (4.8%),45 (4.9%)
"Egypt, Arab Rep.",21.67435877308893,44.44087955265522,22 (2.9%),44 (3.4%)
Uzbekistan,16.639386939970493,39.075493317449926,17 (4.4%),39 (4.6%)
Sudan,18.546335274962843,38.43852956738347,19 (8.9%),38 (9.3%)
Ireland,28.105645756348476,38.061815289255975,28 (19%),38 (19%)
Chile,19.56423845930767,37.33098494667053,20 (0.53%),37 (0.54%)
Kazakhstan,21.387325288620232,35.47595141159963,21 (2.1%),35 (2.2%)
Guatemala,6.469443607308626,35.31564147924185,6.5 (0.9%),35 (1.2%)
Turkey,15.702679232338905,34.43913456391907,16 (0.38%),34 (0.41%)
Morocco,15.593065674694419,32.99325131433654,16 (2.3%),33 (2.5%)
Albania,21.295638243066072,32.81865145139706,21 (7.5%),33 (7.9%)
Chad,12.634714263392507,27.94867444432996,13 (20%),28 (21%)
Belgium,20.531817310221374,27.24439496271479,21 (6.9%),27 (7%)
Jamaica,14.195027300001442,26.28404528617406,14 (4.2%),26 (4.4%)
Slovak Republic,18.745864181026814,26.028913918142674,19 (4.1%),26 (4.1%)
Estonia,15.161232799530975,25.688228795821576,15 (20%),26 (20%)
Sri Lanka,16.76917404006189,25.608751965807674,17 (4.8%),26 (5.1%)
Bolivia,11.979930675495742,25.603114361754177,12 (3.8%),26 (4%)
Syrian Arab Republic,14.603924742547093,23.850398256418107,15 (3.1%),24 (3.4%)
Moldova,12.734456549230963,17.647438976692438,13 (8.8%),18 (9.1%)
Mauritania,5.653628860231041,17.146238529929548,5.7 (9%),17 (9.7%)
Niger,8.243132095345496,16.715239897848964,8.2 (9.1%),17 (9.9%)
Cameroon,6.936145950187087,15.802298315647423,6.9 (4.3%),16 (4.5%)
Tanzania,8.642679013367593,15.014609881973922,8.6 (2.6%),15 (2.7%)
Mongolia,8.255719487085237,14.914599231413751,8.3 (8%),15 (8.3%)
Tajikistan,8.174334434066832,14.865809668280184,8.2 (3.3%),15 (3.4%)
Ghana,8.512254376636147,14.81516927327758,8.5 (4.8%),15 (5%)
Mali,5.65492289846722,14.635901000979572,5.7 (9.1%),15 (9.4%)
Croatia,9.40833068934983,13.310457690531134,9.4 (1.9%),13 (2%)
Benin,6.070872058278374,13.267787739266574,6.1 (13%),13 (14%)
Azerbaijan,7.4873186254290935,12.293292624840259,7.5 (1.8%),12 (1.8%)
Uganda,4.812830855717689,10.949038778614044,4.8 (4.6%),11 (5.1%)
Paraguay,4.868486287154287,9.984622126863211,4.9 (4.8%),10 (5%)
Guinea,5.623353788935356,9.681496125966891,5.6 (8.9%),9.7 (9.7%)
Zambia,3.0044064544011353,9.272712956988245,3 (2.8%),9.3 (3.4%)
Togo,4.921616908105712,9.07714579227893,4.9 (17%),9.1 (18%)
Malawi,4.8929846741433884,8.972604660645215,4.9 (3.9%),9 (4.3%)
Burkina Faso,5.823250484474458,8.567857430766225,5.8 (9.1%),8.6 (9.4%)
Armenia,5.630419899748742,8.06513970386219,5.6 (3.5%),8.1 (3.5%)
El Salvador,4.051857471304655,7.7045458717999455,4.1 (0.32%),7.7 (0.39%)
Georgia,4.680563292087316,6.884826154644132,4.7 (1.6%),6.9 (1.6%)
Lesotho,3.524654333882369,6.4534836030615415,3.5 (7.1%),6.5 (7.8%)
Senegal,4.502564788392961,6.408020658887319,4.5 (8.6%),6.4 (9.3%)
Uruguay,3.5432414719315246,6.384202159922167,3.5 (9.1%),6.4 (9.6%)
Bulgaria,4.170133686420619,6.073336513621569,4.2 (1.6%),6.1 (1.6%)
Central African Republic,2.7887479061530565,5.897135431434702,2.8 (19%),5.9 (21%)
Panama,1.2065209541254938,4.726567689464211,1.2 (0.76%),4.7 (1.5%)
Botswana,2.421419952106312,4.5225733056420685,2.4 (2.7%),4.5 (3%)
Swaziland,2.0355568503594323,3.962869268165126,2 (4.6%),4 (5.1%)
Liberia,2.205641657311335,3.889398879765758,2.2 (19%),3.9 (20%)
Sierra Leone,2.2821651327644585,3.7773063681399672,2.3 (4.7%),3.8 (5.1%)
Kyrgyz Republic,2.0210187242402133,3.6990890987416503,2 (1.4%),3.7 (1.4%)
Rwanda,1.8176333122705146,2.880960879108876,1.8 (3%),2.9 (2.8%)
Sweden,1.8329672667021826,2.5263269989791737,1.8 (4.8%),2.5 (4.8%)
Montenegro,1.39220478762405,2.228585935368437,1.4 (6.8%),2.2 (7.2%)
Burundi,1.0080565603043623,1.8105357048361375,1 (3.5%),1.8 (3.7%)
"Macedonia, FYR",1.0413215006087124,1.743734785617262,1 (1.3%),1.7 (1.3%)
Israel,0.49732443109226226,0.8551911121188998,0.5 (0.16%),0.86 (0.17%)
Denmark,0.5908028917504493,0.7394131024223957,0.59 (4.8%),0.74 (4.8%)
Jordan,0.23964078746992348,0.3684465362576544,0.24 (0.15%),0.37 (0.17%)
Djibouti,0.035203509631095455,0.06388551275292412,0.04 (0.55%),0.06 (0.6%)
Australia,0.0,0.0,0 (0%),0 (0%)
United Kingdom,0.0,0.0,0 (0%),0 (0%)
Austria,0.0,0.0,0 (0%),0 (0%)
Italy,0.0,0.0,0 (0%),0 (0%)
Slovenia,0.0,0.0,0 (0%),0 (0%)
Poland,0.0,0.0,0 (0%),0 (0%)
Czech Republic,0.0,0.0,0 (0%),0 (0%)
Netherlands,0.0,0.0,0 (0%),0 (0%)
Malaysia,0.0,0.0,0 (0%),0 (0%)
France,0.0,0.0,0 (0%),0 (0%)
Greece,0.0,0.0,0 (0%),0 (0%)
Hungary,0.0,0.0,0 (0%),0 (0%)
Costa Rica,0.0,0.0,0 (0%),0 (0%)
