"Increase social
transfers to poor
people to at
least 33%",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Peru,0.0,2727.663530961206,0 (0%),2700 (15%)
Colombia,0.0,2681.7930851659353,0 (0%),2700 (15%)
Philippines,0.0,1773.4174240640791,0 (0%),1800 (4.4%)
Bangladesh,0.0,1457.3573009821644,0 (0%),1500 (9.4%)
India,0.0,1064.0759586337508,0 (0%),1100 (3.7%)
"Iran, Islamic Rep.",0.0,609.3726619453487,0 (0%),610 (4.1%)
Pakistan,0.0,522.2080574469852,0 (0%),520 (7%)
Thailand,0.0,484.607390835783,0 (0%),480 (4.1%)
Argentina,0.0,436.15841446539594,0 (0%),440 (7.5%)
Guatemala,0.0,399.17387168588493,0 (0%),400 (14%)
Indonesia,0.0,363.4067966008625,0 (0%),360 (3.2%)
Brazil,0.0,343.22159937416075,0 (0%),340 (3.9%)
Malaysia,0.0,340.42692562549587,0 (0%),340 (9.6%)
"Venezuela, RB",0.0,312.1510461568661,0 (0%),310 (5.8%)
Turkey,0.0,277.5730389217033,0 (0%),280 (3.3%)
Cambodia,0.0,251.18333582075167,0 (0%),250 (16%)
Iraq,0.0,245.97527798764276,0 (0%),250 (5.5%)
Vietnam,0.0,223.19420815572738,0 (0%),220 (2.3%)
Madagascar,0.0,171.71038381533813,0 (0%),170 (9.6%)
"Congo, Dem. Rep.",0.0,162.94120905019963,0 (0%),160 (18%)
El Salvador,0.0,158.14789553712535,0 (0%),160 (8%)
Angola,0.0,156.74367484846388,0 (0%),160 (20%)
Nigeria,0.0,129.10195156640577,0 (0%),130 (5.6%)
Honduras,0.0,109.34296365922475,0 (0%),110 (5.1%)
"Egypt, Arab Rep.",0.0,102.85882121234702,0 (0%),100 (7.9%)
Lao PDR,0.0,90.0706217413187,0 (0%),90 (5.9%)
Dominican Republic,0.0,85.4900061331315,0 (0%),85 (3.8%)
Kenya,0.0,84.97727330127155,0 (0%),85 (15%)
Ecuador,0.0,77.07948631453513,0 (0%),77 (1.6%)
Morocco,0.0,76.84641501927113,0 (0%),77 (5.8%)
Nepal,0.0,72.38103638837791,0 (0%),72 (7.3%)
Syrian Arab Republic,0.0,64.182506050264,0 (0%),64 (9.1%)
Gabon,0.0,52.77274536369252,0 (0%),53 (11%)
Tanzania,0.0,51.11004731018787,0 (0%),51 (9.3%)
Mauritania,0.0,47.683577810917924,0 (0%),48 (27%)
Cameroon,0.0,45.55218921256464,0 (0%),46 (13%)
Zambia,0.0,40.118879879063215,0 (0%),40 (15%)
Niger,0.0,34.597728434359695,0 (0%),35 (20%)
Mali,0.0,32.41809185730073,0 (0%),32 (21%)
"Congo, Rep.",0.0,30.7570668354021,0 (0%),31 (10%)
Malawi,0.0,26.52521136127916,0 (0%),27 (13%)
Panama,0.0,24.120190354578853,0 (0%),24 (7.5%)
"Yemen, Rep.",0.0,23.1211416651628,0 (0%),23 (3.7%)
Jamaica,0.0,20.661769077058434,0 (0%),21 (3.4%)
Bosnia and Herzegovina,0.0,16.79646216364479,0 (0%),17 (4.8%)
Benin,0.0,15.312748786144509,0 (0%),15 (16%)
Albania,0.0,15.268668808797775,0 (0%),15 (3.7%)
Sri Lanka,0.0,14.421091281491995,0 (0%),14 (2.9%)
Paraguay,0.0,13.630475589617788,0 (0%),14 (6.8%)
Sudan,0.0,11.491653228545665,0 (0%),11 (2.8%)
Chad,0.0,11.46528319997999,0 (0%),11 (8.6%)
Ghana,0.0,9.771575669838725,0 (0%),9.8 (3.3%)
Guinea,0.0,7.9587952238747475,0 (0%),8 (8%)
Swaziland,0.0,7.797529675790548,0 (0%),7.8 (10%)
Lesotho,0.0,7.64146612511684,0 (0%),7.6 (9.2%)
Jordan,0.0,6.240825689152181,0 (0%),6.2 (2.8%)
Botswana,0.0,5.681284038771957,0 (0%),5.7 (3.7%)
Central African Republic,0.0,3.9356014414169787,0 (0%),3.9 (14%)
Burundi,0.0,3.7413363430212137,0 (0%),3.7 (7.7%)
Uruguay,0.0,3.7198480221112593,0 (0%),3.7 (5.6%)
Sierra Leone,0.0,3.6800379270419925,0 (0%),3.7 (4.9%)
Togo,0.0,3.3124475850251316,0 (0%),3.3 (6.6%)
Senegal,0.0,1.55270220507057,0 (0%),1.6 (2.3%)
Liberia,0.0,1.1357650311220138,0 (0%),1.1 (6%)
Mongolia,0.0,0.9345977012041211,0 (0%),0.93 (0.52%)
Djibouti,0.0,0.31018410194317064,0 (0%),0.31 (2.9%)
Spain,0.0,0.0,0 (0%),0 (0%)
Slovak Republic,0.0,0.0,0 (0%),0 (0%)
Slovenia,0.0,0.0,0 (0%),0 (0%)
South Africa,0.0,0.0,0 (0%),0 (0%)
Serbia,0.0,0.0,0 (0%),0 (0%)
Hungary,0.0,0.0,0 (0%),0 (0%)
Bolivia,0.0,0.0,0 (0%),0 (0%)
Sweden,0.0,0.0,0 (0%),0 (0%)
Romania,0.0,0.0,0 (0%),0 (0%)
Tajikistan,0.0,0.0,0 (0%),0 (0%)
Belgium,0.0,0.0,0 (0%),0 (0%)
Belarus,0.0,0.0,0 (0%),0 (0%)
Azerbaijan,0.0,0.0,0 (0%),0 (0%)
Uganda,0.0,0.0,0 (0%),0 (0%)
Ukraine,0.0,0.0,0 (0%),0 (0%)
United Kingdom,0.0,0.0,0 (0%),0 (0%)
United States,0.0,0.0,0 (0%),0 (0%)
Austria,0.0,0.0,0 (0%),0 (0%)
Australia,0.0,0.0,0 (0%),0 (0%)
Armenia,0.0,0.0,0 (0%),0 (0%)
Russian Federation,0.0,0.0,0 (0%),0 (0%)
Burkina Faso,0.0,0.0,0 (0%),0 (0%)
Poland,0.0,0.0,0 (0%),0 (0%)
Denmark,0.0,0.0,0 (0%),0 (0%)
Greece,0.0,0.0,0 (0%),0 (0%)
Germany,0.0,0.0,0 (0%),0 (0%)
Ireland,0.0,0.0,0 (0%),0 (0%)
Italy,0.0,0.0,0 (0%),0 (0%)
Georgia,0.0,0.0,0 (0%),0 (0%)
Japan,0.0,0.0,0 (0%),0 (0%)
France,0.0,0.0,0 (0%),0 (0%)
Estonia,0.0,0.0,0 (0%),0 (0%)
Kyrgyz Republic,0.0,0.0,0 (0%),0 (0%)
Latvia,0.0,0.0,0 (0%),0 (0%)
Lithuania,0.0,0.0,0 (0%),0 (0%)
"Macedonia, FYR",0.0,0.0,0 (0%),0 (0%)
Czech Republic,0.0,0.0,0 (0%),0 (0%)
Croatia,0.0,0.0,0 (0%),0 (0%)
Costa Rica,0.0,0.0,0 (0%),0 (0%)
China,0.0,0.0,0 (0%),0 (0%)
Mexico,0.0,0.0,0 (0%),0 (0%)
Moldova,0.0,0.0,0 (0%),0 (0%)
Montenegro,0.0,0.0,0 (0%),0 (0%)
