"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
China,187.68726572250367,1761.6607313684997,190 (0.37%),1800 (2.3%)
Philippines,170.73335892835235,1072.1047894081269,170 (0.61%),1100 (2.6%)
Peru,78.82185160498237,964.8171987129859,79 (1.1%),960 (5.3%)
Colombia,45.28851647059345,828.2498109973011,45 (0.57%),830 (4.7%)
United States,84.15953183388518,746.1685565809936,84 (0.21%),750 (1.3%)
India,146.94676686211014,695.2873441937179,150 (0.81%),700 (2.4%)
Thailand,173.83094029823016,632.0866930232372,170 (2.8%),630 (5.3%)
"Iran, Islamic Rep.",78.80655598558808,548.3794537154694,79 (0.97%),550 (3.7%)
Italy,115.16587752834128,522.1942526639614,120 (0.98%),520 (3%)
Japan,130.4055448455429,511.0170447304229,130 (0.44%),510 (1.3%)
Bangladesh,106.97558181353187,493.81151421913717,110 (1.1%),490 (3.2%)
Russian Federation,70.61128801364707,422.716881620491,71 (1.1%),420 (3.5%)
Turkey,45.798732264808656,344.56867491755867,46 (1.1%),340 (4.1%)
Greece,79.41045008010006,314.3486322000694,79 (1.6%),310 (3.8%)
Indonesia,56.0823730842514,276.41562892510984,56 (0.72%),280 (2.5%)
Brazil,16.110960873456953,249.43172772307776,16 (0.29%),250 (2.8%)
Vietnam,45.51785959193897,219.72432065341377,46 (0.66%),220 (2.3%)
Pakistan,51.987530010927195,212.65738281174086,52 (1.1%),210 (2.9%)
Argentina,18.67252336073589,212.22437140456867,19 (0.57%),210 (3.6%)
Chile,21.705015995709417,209.52049874123477,22 (0.59%),210 (3.1%)
Guatemala,9.52269142953837,167.7981785413766,9.5 (1.3%),170 (5.7%)
"Venezuela, RB",10.650250019726275,153.26033010692214,11 (0.32%),150 (2.8%)
France,47.78101250189447,151.21623548432254,48 (1.1%),150 (2.5%)
Malaysia,12.150802281476498,125.91729283093738,12 (0.58%),130 (3.5%)
Mexico,13.530378142763137,116.75048309224987,14 (0.47%),120 (2.4%)
Iraq,21.465376248961924,116.40689481388283,21 (0.85%),120 (2.6%)
