"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
China,892.7811852669678,1067.3528549977416,890 (1.8%),1100 (1.4%)
United States,722.561099334526,957.7672977904815,720 (1.8%),960 (1.6%)
Japan,524.2404910560455,605.6696374945068,520 (1.8%),610 (1.6%)
Philippines,484.4255991468353,514.0138635611953,480 (1.7%),510 (1.3%)
India,302.3133111876907,392.23302046425243,300 (1.7%),390 (1.4%)
Italy,192.49299189411354,209.42885185940932,190 (1.6%),210 (1.2%)
Bangladesh,163.59456239872551,187.074593932003,160 (1.6%),190 (1.2%)
"Iran, Islamic Rep.",132.8153725097065,154.2370655102081,130 (1.6%),150 (1%)
Indonesia,131.08336218946744,147.07335675321198,130 (1.7%),150 (1.3%)
Colombia,138.1875029265604,144.61661434163284,140 (1.7%),140 (0.82%)
Vietnam,118.2591262033615,128.02425175426674,120 (1.7%),130 (1.3%)
Russian Federation,101.08905209760475,126.31320781663322,100 (1.6%),130 (1%)
Peru,116.51945335155486,121.3952932779312,120 (1.6%),120 (0.67%)
Brazil,98.98146508564567,117.83726860421562,99 (1.8%),120 (1.3%)
Pakistan,78.01706366051387,95.71717031083584,78 (1.6%),96 (1.3%)
Greece,74.85129386222648,81.10435979519748,75 (1.5%),81 (0.98%)
Turkey,65.42046444544935,79.23354352250576,65 (1.6%),79 (0.93%)
Chile,63.87354294316721,78.27843928450679,64 (1.7%),78 (1.1%)
France,68.81844400102138,77.18992844092655,69 (1.6%),77 (1.3%)
Thailand,71.04747690140724,74.85893087939453,71 (1.2%),75 (0.63%)
"Venezuela, RB",59.363862686624046,72.97547374777699,59 (1.8%),73 (1.4%)
Germany,59.74818977720022,71.94324302407837,60 (1.8%),72 (1.6%)
Ecuador,57.81178646467018,71.88024930640601,58 (1.8%),72 (1.5%)
Mexico,50.46641503337669,65.7960626206789,50 (1.8%),66 (1.3%)
Argentina,57.189982307891846,64.15808838202285,57 (1.7%),64 (1.1%)
Iraq,41.73546230643654,59.031930395317076,42 (1.7%),59 (1.3%)
South Africa,29.24848098826742,49.30772482381916,29 (1.9%),49 (1.7%)
Hungary,37.785649764987944,46.83118102286291,38 (1.8%),47 (1.8%)
Australia,35.816062754559994,45.798125685122486,36 (1.8%),46 (1.6%)
Ukraine,37.88395917193174,45.261087640758035,38 (1.6%),45 (1.4%)
Malaysia,36.074056433653354,37.568542958669184,36 (1.7%),38 (1.1%)
Canada,25.72043921672082,33.21167251792693,26 (1.8%),33 (1.6%)
United Kingdom,25.62479581670618,32.60722073028803,26 (1.8%),33 (1.7%)
Dominican Republic,25.678877574934006,29.95261032343292,26 (1.8%),30 (1.3%)
Nigeria,19.57339932727003,29.76167675333166,20 (1.8%),30 (1.3%)
