"Reduce exposure
of the poor by 5%
of total exposure",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Mali,6.207703438993752,38.723391910404786,10% (6.2 m$),25% (39 m$)
Niger,10.021812441772193,42.06159516041253,11% (10 m$),25% (42 m$)
Guatemala,30.68782268471968,509.7973621267786,4.3% (31 m$),17% (510 m$)
Mauritania,4.334667768452488,30.438647833267687,6.9% (4.3 m$),17% (30 m$)
Cambodia,54.54024398339045,269.5189453588438,6.5% (55 m$),17% (270 m$)
Peru,265.3662053367052,2867.839325809467,3.7% (270 m$),16% (2900 m$)
Thailand,535.7496251467924,1719.411088190134,8.8% (540 m$),14% (1700 m$)
Colombia,145.36835455977726,2341.526630914074,1.8% (150 m$),13% (2300 m$)
Turkey,151.64592890713308,1019.8183414328012,3.7% (150 m$),12% (1000 m$)
Mongolia,4.6563188456111995,21.292836640868753,4.5% (4.7 m$),12% (21 m$)
"Congo, Rep.",4.142278248497635,34.393539200236226,2.8% (4.1 m$),12% (34 m$)
Greece,264.5568780632419,956.0873440575562,5.2% (260 m$),12% (960 m$)
Morocco,27.7687828594445,150.8594278924141,4.1% (28 m$),11% (150 m$)
Honduras,9.933035369956851,247.3982282053666,0.99% (9.9 m$),11% (250 m$)
"Iran, Islamic Rep.",260.569374345355,1644.8653399706247,3.2% (260 m$),11% (1600 m$)
