"Reduce
exposure of the nonpoor by 5%
of total exposure",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Hungary,131.6209290328846,162.1099218131728,6.3% (130 m$),6.2% (160 m$)
Georgia,18.452715330682157,26.80579774923843,6.2% (18 m$),6.2% (27 m$)
Azerbaijan,25.23044004864782,39.3501503077929,6.1% (25 m$),5.9% (39 m$)
Ireland,9.249211874699652,11.767233158415495,6.1% (9.2 m$),5.8% (12 m$)
Denmark,0.7423629402267131,0.8679927666510417,6% (0.74 m$),5.7% (0.87 m$)
United Kingdom,86.0847423847127,110.22687053059721,6.1% (86 m$),5.6% (110 m$)
Lithuania,12.390461169428884,16.080546808033287,6.1% (12 m$),5.6% (16 m$)
South Africa,98.57248039091205,159.79277876420116,6.3% (99 m$),5.6% (160 m$)
Germany,200.94957034528636,242.97089326845503,5.9% (200 m$),5.5% (240 m$)
Canada,87.22320218566513,112.1030076768558,6.1% (87 m$),5.5% (110 m$)
Australia,121.77360064312195,151.3455079487934,6.1% (120 m$),5.4% (150 m$)
Spain,53.84825575639665,59.98327625854098,6% (54 m$),5.3% (60 m$)
United States,2422.8644610307233,3183.660660325943,6.1% (2400 m$),5.3% (3200 m$)
Japan,1758.7045541501807,2022.1576895958938,5.9% (1800 m$),5.3% (2000 m$)
Sweden,2.210397797090769,2.736867820421919,5.7% (2.2 m$),5.2% (2.7 m$)
