"Increase
income of the
poor 10%",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Mauritania,-1.875609413463004,3.267271057137668,-3% (-1.9 m$),1.8% (3.3 m$)
Central African Republic,-0.07134510339170694,0.4888671906091869,-0.48% (-0.07 m$),1.7% (0.49 m$)
"Congo, Dem. Rep.",-5.283990168200075,14.02632168859434,-1.2% (-5.3 m$),1.6% (14 m$)
Colombia,-60.384688627457614,268.1974569468498,-0.76% (-60 m$),1.5% (270 m$)
Mali,-1.5146796391144917,2.172434978198111,-2.4% (-1.5 m$),1.4% (2.2 m$)
Lesotho,-0.146350771347709,1.1522118237984627,-0.29% (-0.15 m$),1.4% (1.2 m$)
Kenya,-2.635255303790271,7.646291437316894,-1% (-2.6 m$),1.3% (7.6 m$)
Zambia,-1.0335118355423063,3.700076403262496,-0.95% (-1 m$),1.3% (3.7 m$)
Angola,-5.771835406903386,10.168447188170314,-2.4% (-5.8 m$),1.3% (10 m$)
Benin,-0.656174849081628,1.1502318540060519,-1.4% (-0.66 m$),1.2% (1.2 m$)
Malawi,-1.0498223513829559,2.425997753002435,-0.84% (-1 m$),1.2% (2.4 m$)
Panama,-0.7331010001591741,3.7248588341966866,-0.46% (-0.73 m$),1.2% (3.7 m$)
Chad,-0.37564159755644944,1.4107348733329028,-0.59% (-0.38 m$),1.1% (1.4 m$)
Peru,-105.09580213997555,187.1230155124588,-1.4% (-110 m$),1% (190 m$)
Niger,-2.4453222357923834,1.7306003843687474,-2.7% (-2.4 m$),1% (1.7 m$)
