"Develop market insurance (25% of population, only nonpoor)",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Senegal,-1.4901161193847656e-14,2.316110944085158,-0% (-0 m$),3.4% (2.3 m$)
Jordan,0.0,7.3930943721683615,0% (0 m$),3.3% (7.4 m$)
Lesotho,0.0,2.599370340264872,0% (0 m$),3.1% (2.6 m$)
Ecuador,0.0,142.30514330564213,0% (0 m$),2.9% (140 m$)
El Salvador,-2.384185791015625e-13,57.46375790531754,-0% (-0 m$),2.9% (57 m$)
Sri Lanka,5.960464477539062e-14,14.218435610931456,0% (0 m$),2.9% (14 m$)
"Venezuela, RB",0.0,146.27356908261774,0% (0 m$),2.7% (150 m$)
"Yemen, Rep.",-5.960464477539062e-14,17.13659672562289,-0% (-0 m$),2.7% (17 m$)
Togo,7.450580596923828e-15,1.3271445212453679,0% (0 m$),2.7% (1.3 m$)
Australia,4.76837158203125e-13,73.06645700980377,0% (0 m$),2.6% (73 m$)
China,0.0,1957.3032553378143,0% (0 m$),2.6% (2000 m$)
Botswana,-1.4901161193847656e-14,3.9256568620952366,-0% (-0 m$),2.6% (3.9 m$)
Guinea,-7.450580596923828e-15,2.5609078410691617,-0% (-0 m$),2.6% (2.6 m$)
Croatia,0.0,16.991004127654314,0% (0 m$),2.5% (17 m$)
Brazil,-9.5367431640625e-13,224.75637189252663,-0% (-0 m$),2.5% (220 m$)
