"Universal
access to early
warnings",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Chad,12.634714263392507,27.94867444432996,20% (13 m$),21% (28 m$)
Cambodia,168.91389925366556,337.960757147321,20% (170 m$),21% (340 m$)
Angola,46.001505647370216,160.32511092396163,19% (46 m$),21% (160 m$)
"Congo, Rep.",29.835621484496563,61.97742345804724,20% (30 m$),21% (62 m$)
Central African Republic,2.7887479061530565,5.897135431434702,19% (2.8 m$),21% (5.9 m$)
Ukraine,461.988129291847,656.3716587582215,20% (460 m$),21% (660 m$)
Liberia,2.205641657311335,3.889398879765758,19% (2.2 m$),20% (3.9 m$)
Latvia,56.5886529340029,88.52392505682582,20% (57 m$),20% (89 m$)
Lithuania,40.443392061423005,58.22137558931422,20% (40 m$),20% (58 m$)
Estonia,15.161232799530975,25.688228795821576,20% (15 m$),20% (26 m$)
Russian Federation,1181.7849244164715,2302.124399385967,19% (1200 m$),19% (2300 m$)
Ireland,28.105645756348476,38.061815289255975,19% (28 m$),19% (38 m$)
Togo,4.921616908105712,9.07714579227893,17% (4.9 m$),18% (9.1 m$)
Brazil,915.6373804800853,1584.220098414937,17% (920 m$),18% (1600 m$)
Gabon,33.936191537474,84.79595488238716,16% (34 m$),17% (85 m$)
