"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Mauritania,1.4067070600972846,11.12805761710745,2.2% (1.4 m$),6.3% (11 m$)
Angola,4.32887655517754,44.75066696059477,1.8% (4.3 m$),5.8% (45 m$)
Guatemala,9.52269142953837,167.7981785413766,1.3% (9.5 m$),5.7% (170 m$)
Peru,78.82185160498237,964.8171987129859,1.1% (79 m$),5.3% (960 m$)
Thailand,173.83094029823016,632.0866930232372,2.8% (170 m$),5.3% (630 m$)
Niger,1.8339916768443136,8.808131672208308,2% (1.8 m$),5.2% (8.8 m$)
Gabon,3.052117038085401,24.38731234445214,1.5% (3.1 m$),5% (24 m$)
Mali,1.136009729335852,7.535533501856774,1.8% (1.1 m$),4.9% (7.5 m$)
Zambia,0.775133876656726,12.946792607878624,0.71% (0.78 m$),4.7% (13 m$)
Colombia,45.28851647059345,828.2498109973011,0.57% (45 m$),4.7% (830 m$)
"Congo, Dem. Rep.",3.9629926261500117,41.19305390891325,0.87% (4 m$),4.6% (41 m$)
Morocco,9.282998099515677,58.19273594425702,1.4% (9.3 m$),4.4% (58 m$)
Benin,0.4921311368112117,4.0816331156443955,1% (0.49 m$),4.3% (4.1 m$)
Cameroon,1.933284939224541,15.136764908598304,1.2% (1.9 m$),4.3% (15 m$)
Cambodia,12.27172361917591,66.37059001667141,1.5% (12 m$),4.1% (66 m$)
