"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",Asset losses value,Wellbeing losses value,Asset losses label,Wellbeing losses  label
Georgia,5.5256229987784025,8.053033346752464,1.9% (5.5 m$),1.9% (8.1 m$)
Hungary,37.785649764987944,46.83118102286291,1.8% (38 m$),1.8% (47 m$)
Azerbaijan,7.554688679224074,11.871439493997215,1.8% (7.6 m$),1.8% (12 m$)
South Africa,29.24848098826742,49.30772482381916,1.9% (29 m$),1.7% (49 m$)
Ireland,2.7212500545609295,3.4896540227992534,1.8% (2.7 m$),1.7% (3.5 m$)
Burkina Faso,1.1588361207778752,1.5473449132886379,1.8% (1.2 m$),1.7% (1.5 m$)
Lithuania,3.640077922328323,4.797785670352339,1.8% (3.6 m$),1.7% (4.8 m$)
United Kingdom,25.62479581670618,32.60722073028803,1.8% (26 m$),1.7% (33 m$)
Denmark,0.21809187827014176,0.2551930285801049,1.8% (0.22 m$),1.7% (0.26 m$)
Australia,35.816062754559994,45.798125685122486,1.8% (36 m$),1.6% (46 m$)
Germany,59.74818977720022,71.94324302407837,1.8% (60 m$),1.6% (72 m$)
Canada,25.72043921672082,33.21167251792693,1.8% (26 m$),1.6% (33 m$)
United States,722.561099334526,957.7672977904815,1.8% (720 m$),1.6% (960 m$)
Japan,524.2404910560455,605.6696374945068,1.8% (520 m$),1.6% (610 m$)
Rwanda,1.1087402656462415,1.598759632442817,1.8% (1.1 m$),1.6% (1.6 m$)
