country,vp,vr,v
Afghanistan,0.6999999999999998,0.4549088965878277,
Albania,0.6999999999999998,0.35149999999999987,0.3823422499999999
Algeria,0.5503924,0.10000000000000002,
American Samoa,0.3000000000000001,0.27549999999999997,
Andorra,0.10499999999999998,0.10000000000000002,
Angola,0.6999999999999997,0.6,0.6054299999999999
Antigua and Barbuda,0.99,0.7639872512860902,0.7669720704437012
Arab World,,,
Argentina,0.6999999999999998,0.3973657374999999,0.41186191867374994
Armenia,0.2999999999999999,0.2375,0.24278124999999998
Aruba,0.7000000000000002,0.6764212741773348,
Australia,0.6999999999999998,0.5385999999999999,0.5500432599999998
Austria,0.5700000000000001,0.2394999999999999,0.2652128999999999
Azerbaijan,0.2999999999999999,0.2375,0.24276249999999996
"Bahamas, The",0.6999999999999998,0.47350000000000003,
Bahrain,0.6999999999999997,0.62725,
Bangladesh,0.6999999999999998,0.4141510725658423,0.4394487026437653
Barbados,0.39799999999999985,0.24700000000000003,
Belarus,0.6999999999999998,0.29499999999999993,0.33278649999999993
Belgium,0.46000000000000013,0.26999999999999996,0.28637799999999997
Belize,0.6149237723405151,0.3549667269519282,0.3633113481089018
Benin,0.7000000000000002,0.6734349004145418,0.6750447454494206
Bermuda,0.6999999999999998,0.5265,
Bhutan,0.6999999999999997,0.6738905766438061,0.6756477408356779
Bolivia,0.6999999999999998,0.38885421167860285,0.40002434547934096
Bosnia and Herzegovina,0.6999999999999998,0.4420235935,0.4608042758932
Botswana,0.6999999999999997,0.6416008539893611,0.6432593897360632
Brazil,0.6999999999999997,0.6506628849962744,0.6524488885594093
British Virgin Islands,,,
Brunei Darussalam,0.39486964955708176,0.22297463449207036,
Bulgaria,0.6999999999999998,0.3853306138,0.40471424798992
Burkina Faso,0.6999999999999997,0.6734349004145419,0.6756424601900934
Burundi,0.6999999999999998,0.4424472127146907,0.4654209213405403
Cabo Verde,,,
Cambodia,0.6999999999999998,0.20316341249999995,0.24812712366874992
Cameroon,0.6343680960785822,0.3,0.31514687475235975
Canada,0.39271984947110816,0.27848915166168753,0.28659953120615644
Caribbean small states,,,
Cayman Islands,0.6999999999999998,0.391375828971834,
Central African Republic,0.7000000000000002,0.6348205552960912,0.6369910308047314
Central Europe and the Baltics,,,
Chad,0.7000000000000002,0.6734349004145418,0.6747259642543951
Channel Islands,,,
Chile,0.31309089999999995,0.11518937500000001,0.1243522156075
China,0.6999999999999997,0.53495578875,0.5435876009983751
Colombia,0.5283856,0.2223836,0.2326652672
Comoros,0.6999999999999998,0.4424472127146907,0.45277507948483153
"Congo, Dem. Rep.",0.6999999999999997,0.6,0.60554
"Congo, Rep.",0.6343680960785822,0.3,0.3140434600353004
Costa Rica,0.6999999999999998,0.32104216733095065,0.3369583963030507
Cote d'Ivoire,0.6999999999999997,0.6734349004145419,0.6747923770033588
