country,gdp_pc_pp,pop,share1,urbanization_rate,axfin_p,axfin_r,social_p,social_r
Afghanistan,1808.12602751337,32526562.0,,0.26703000000000005,0.02233598,0.04460866,0.11107429685686761,0.04316252283353993
Albania,11015.163884418302,2889167.0,0.0885,0.57407,0.044618029999999996,0.09645449,0.2438882981528826,0.16800565262848097
Algeria,13795.243289131002,39666519.0,,0.7072700000000001,0.10180030000000001,0.1647805,,
American Samoa,,55538.0,,0.8720200000000001,,,,
Andorra,,70473.0,,0.85115,,,,
Angola,6937.6310464813405,25021974.0,0.054299999999999994,0.44049999999999995,0.0402588,0.22208070000000002,,
Antigua and Barbuda,21660.2216721924,91818.0,,0.23773000000000002,,,,
Arab World,15451.3437001203,392168030.0,,0.578250374810869,,,,
Argentina,18087.196261682242,43416755.0,0.0479,0.91751,0.010992219999999999,0.06069045,0.20015344553599781,0.14565106530835328
Armenia,7906.9165691422595,3017712.0,0.08449999999999999,0.62673,0.004417139,0.02506004,0.7336326636811208,0.31717955102620626
Aruba,36015.070459561,103889.0,,0.41528,,,,
Australia,43631.235855488,23789752.0,0.0709,0.8942299999999999,0.48560159999999997,0.702807,,
Austria,44048.4314454396,8638366.0,0.07780000000000001,0.65968,0.4861395,0.6850328,,
Azerbaijan,16698.8636847859,9649341.0,0.0842,0.5462,0.04266026,0.060771559999999995,0.8571289621356334,0.3860532955260186
"Bahamas, The",21602.675494503997,388019.0,,0.8287399999999999,,,,
Bahrain,43753.8981786914,1377237.0,,0.88775,0.2638231,0.4028472,,
Bangladesh,3136.5610686987798,160995642.0,0.0885,0.34277,0.03864263,0.09956344,0.06325835608801508,0.14582058163366513
Barbados,15408.384658718502,284215.0,,0.31475000000000003,,,,
Belarus,16661.9904403596,9489616.0,0.0933,0.76667,0.07855246,0.1958292,0.7131045570416903,0.38574592920429235
Belgium,41825.8110384117,11249420.0,0.0862,0.9785799999999999,0.48671349999999997,0.6023575,,
Belize,7967.76683497891,359287.0,,0.43973,0.1267646,0.2864756,0.420367529660433,0.11287637643952123
Benin,1931.66495143026,10879829.0,0.060599999999999994,0.4395,0.0402082,0.09291302,0.04725879624981513,0.07452986615849086
Bermuda,50669.3147696996,65235.0,,1.0,,,,
Bhutan,7860.987121743341,774830.0,0.0673,0.38644,0.1739075,0.2584666,0.024656816312800124,0.018314412029414015
Bolivia,6531.073588013829,10724705.0,0.0359,0.68512,0.11292920000000001,0.3135603,0.4102582892993626,0.12905276195012985
Bosnia and Herzegovina,10118.7704221965,3810416.0,0.0728,0.39766999999999997,0.05371241,0.11128210000000001,0.22220584397440438,0.1254276087362129
Botswana,14876.3620396547,2262485.0,0.028399999999999998,0.57444,0.14749939999999997,0.34586680000000003,0.23278881451946298,0.043776538431895676
Brazil,14532.9802422604,207847528.0,0.0362,0.8568700000000001,0.05749141000000001,0.16760809999999998,0.16918099974217718,0.19845197910315215
British Virgin Islands,,30117.0,,0.46186000000000005,,,,
Brunei Darussalam,73604.8796302843,423188.0,,0.7720199999999999,,,,
Bulgaria,17000.1421410251,7177991.0,0.0616,0.73948,0.05927353,0.199541,0.5143871021114643,0.23240492980332722
Burkina Faso,1592.9167997577401,18105570.0,0.08310000000000001,0.29859,0.05447056,0.10908389999999998,0.023899101243400903,0.027009669771727758
Burundi,682.944118046105,11178921.0,0.0892,0.12057000000000001,0.01814623,0.05378873000000001,,
Cabo Verde,6157.89677014189,520502.0,0.049699999999999994,0.6552600000000001,,,0.11215629287022583,0.08850635522282173
Cambodia,3278.22121463666,15577899.0,0.09050000000000001,0.20723000000000003,0.02697189,0.04235721,0.04113893336731722,0.035798500666983965
Cameroon,2925.8874170215804,23344179.0,0.0453,0.54381,0.01092981,0.1220212,0.005311106672361467,0.0063742846886830845
Canada,42983.100055685,35848610.0,0.071,0.81828,0.5176056,0.6994052,,
Caribbean small states,14590.9851636157,7116360.0,,0.42292277504370207,,,,
Cayman Islands,49902.1465489682,59967.0,,1.0,,,,
Central African Republic,581.136170667249,4900274.0,0.0333,0.40037,0.006212666,0.037263269999999994,0.0074973769063211345,0.0057691429049916525
Central Europe and the Baltics,24354.165722072798,103256779.0,,0.623570023836788,,,,
