country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,protection,tau_tax
Albania,11015.163884418302,2889167.0,0.57407,0.0,0.175,0.1852799860314327,3,0.2,1.5,0.06,0.8,0.05,20.0,0.1747212667573905
Angola,6937.631046481341,25021974.0,0.4405,0.0,0.175,0.43239739052511456,3,0.2,1.5,0.06,0.8,0.05,20.0,0.10614328583642389
Argentina,18087.196261682242,43416755.0,0.91751,0.7333333333333333,0.375,0.2695495148851759,3,0.2,1.5,0.06,0.8,0.05,20.0,0.14826172932125747
Armenia,7906.9165691422595,3017712.0,0.62673,0.4,0.425,0.3666957212217474,3,0.2,1.5,0.06,0.8,0.05,20.0,0.3523698390455466
Australia,43631.235855488,23789752.0,0.8942299999999999,0.8,0.9166666666666667,0.27360239086009513,3,0.2,1.5,0.06,0.8,0.05,20.0,0.1580468
Austria,44048.4314454396,8638366.0,0.65968,0.8,0.8916666666666666,0.23227851820729004,3,0.2,1.5,0.06,0.8,0.05,20.0,0.41664470793400005
Azerbaijan,16698.8636847859,9649341.0,0.5462,0.0,0.25,0.5982212831852317,3,0.2,1.5,0.06,0.8,0.05,20.0,0.4257178666545482
Bangladesh,3136.5610686987798,160995642.0,0.34276999999999996,0.7333333333333333,0.6166666666666667,0.2897089076246591,3,0.2,1.5,0.06,0.8,0.05,20.0,0.1385138246728751
Belarus,16661.9904403596,9489616.0,0.76667,0.7333333333333333,0.5166666666666667,0.38644453675382373,3,0.2,1.5,0.06,0.8,0.05,20.0,0.4162884891815216
Belgium,41825.8110384117,11249420.0,0.97858,0.0,0.425,0.21669151743746679,3,0.2,1.5,0.06,0.8,0.05,20.0,0.423956265427
Benin,1931.66495143026,10879829.0,0.4395,0.6666666666666667,0.25,0.3302533219458435,3,0.2,1.5,0.06,0.8,0.05,20.0,0.07287723932202511
Bhutan,7860.987121743341,774830.0,0.38644,0.6,0.4166666666666667,0.18557539427848196,3,0.2,1.5,0.06,0.8,0.05,20.0,0.018741255837685898
Bolivia,6531.073588013829,10724705.0,0.68512,0.5333333333333333,0.45,0.4218342004210295,3,0.2,1.5,0.06,0.8,0.05,20.0,0.1391480403819673
Bosnia and Herzegovina,10118.7704221965,3810416.0,0.39767,0.0,0.125,0.32393223235700314,3,0.2,1.5,0.06,0.8,0.05,20.0,0.13247306426155325
Botswana,14876.3620396547,2262485.0,0.57444,0.6,0.7083333333333333,0.2811780767140953,3,0.2,1.5,0.06,0.8,0.05,20.0,0.049144487072782586
Brazil,14532.9802422604,207847528.0,0.8568700000000001,0.8666666666666666,0.5583333333333333,0.265575010187584,3,0.2,1.5,0.06,0.8,0.05,20.0,0.19739236965028484
Bulgaria,17000.1421410251,7177991.0,0.73948,0.6666666666666667,0.7166666666666667,0.3230784715072762,3,0.2,1.5,0.06,0.8,0.05,20.0,0.42039442281199996
Burkina Faso,1592.91679975774,18105570.0,0.29859,0.8,0.4166666666666667,0.40566509188102295,3,0.2,1.5,0.06,0.8,0.05,20.0,0.026751181527023795
Burundi,682.944118046105,11178921.0,0.12057,0.6666666666666667,0.25,0.4629793127178333,3,0.2,1.5,0.06,0.8,0.05,20.0,0.09738057318683055
Cambodia,3278.22121463666,15577899.0,0.20723000000000005,0.0,0.15,0.45929444965397004,3,0.2,1.5,0.06,0.8,0.05,20.0,0.03628180982636412
Cameroon,2925.8874170215804,23344179.0,0.54381,0.6666666666666667,0.5666666666666667,0.41973757460294764,3,0.2,1.5,0.06,0.8,0.05,20.0,0.006326122724543716
Canada,42983.100055685,35848610.0,0.81828,0.8666666666666666,0.8333333333333333,0.3354838938558465,3,0.2,1.5,0.06,0.8,0.05,20.0,0.17486100000000002
Central African Republic,581.136170667249,4900274.0,0.40037,0.0,0.0,0.3147438330510679,3,0.2,1.5,0.06,0.8,0.05,20.0,0.005826693097235925
Chad,2043.5442307367002,14037472.0,0.22471,0.0,0.0,0.7532009944644721,3,0.2,1.5,0.06,0.8,0.05,20.0,0.029936349434197734
