country,hazard_ratio_flood_poor,hazard_ratio_fa__flood,v_cat_info__poor,v_cat_info__nonpoor,shew_for_hazard_ratio,gamma_SP_cat_info__poor,macro_tau_tax,macro_borrow_abi,macro_prepare_scaleup,axfin_cat_info__nonpoor,axfin_cat_info__poor,k_cat_info__poor,k_cat_info__nonpoor,hazard_ratio_fa__earthquake,hazard_ratio_fa__tsunami,hazard_ratio_fa__wind,resilience,risk,risk_to_assets,macro_T_rebuild_K
Albania,-29.75908653158932,26.59473956626468,-0.2896326523147419,0.378982298407049,0.004332394377304372,0.11960515752656997,0.3933813412635434,0.0,0.004608867973321384,-0.0013499290877350134,0.02880651105041654,-0.025923506915659367,1.4165277950617394e-05,-0.8239338144517827,-0.7960254724494464,-0.7960254724494464,0.0,0.0,0.0,-0.025272007543986064
Angola,-26.041200163585465,104.12340257851801,-0.2409441232048004,0.2374008660865068,0.006362463505271698,0.1205806582880442,0.3326155648367968,0.0,0.008346433504280437,-0.007593508529801785,0.030598185012165047,3.178980009788113e-05,1.5792319896235085e-05,69.16178109131698,69.1620007690443,69.1620007690443,0.0,0.0,0.0,-0.027693246045928932
Argentina,-43.09755194990067,45.114837591821775,-0.33623457671172474,0.47769620839577254,0.0038099508541389326,0.17164962064786238,0.33129888318816914,0.026135616173816878,0.01500919605418316,-0.004538801302744755,0.027287930844277497,8.60905241539811e-06,9.055284078129944e-06,0.8317278892442936,2.1444466605684553,2.1444466605684553,0.0,0.0,0.0,-0.032331705138666234
Armenia,-6.633102301836946,6.154825223354421,-0.29012947759060603,0.3082250880074855,0.0006153810285236538,0.06400866680600359,0.19256573882930894,0.0049077569906907925,0.005389309510439588,-0.0013585507522284601,0.010917650675457136,1.5886902182682405e-05,4.0020802061224714e-05,-0.05914074475643627,0.03966397666904653,0.03966397666904653,0.0,0.0,0.0,-0.051066415631573214
Australia,-45.35366703759813,28.800683657540347,-0.11980002761713404,0.09491448334003616,0.007939327139883101,0.055653198218652555,0.5141371792338756,0.014054421877185419,0.018000369866932875,0.005457594841440372,0.012384981446400545,-0.24200208876540286,-0.2419982861479597,-0.5524783293175961,2.017774447051701,2.0173133531050103,0.0,0.0,0.0,-0.04056593206275272
Austria,-21.066734951508124,25.44570678161523,-0.2087349904559277,0.4438835291336596,0.001678228389534464,0.21357536112365239,0.3007536417523604,0.02571835227410668,0.0320740773364081,0.0026791813453885815,0.021867508667672286,1.5590742030724414e-06,4.334253567161994e-06,0.7155671146062415,1.2320675391199187,1.2320675391199187,0.0,0.0,0.0,-0.03373193957012521
Azerbaijan,-3.6506599892115466,2.9361905855760373,-0.08357728212204929,0.08526627015759125,0.00012467890564415995,0.07870590710457037,0.16687642944351877,0.0,0.0010977184071725432,0.00046962352256985085,0.008102865098946754,8.905532811187555e-06,2.6466528246782417e-05,0.015050873315991531,0.032449414310020686,0.032449414310020686,0.0,0.0,0.0,-0.06566727836160302
Bangladesh,-8.289252519072532,8.171535385412042,-0.2716827713634129,0.33568316538962195,0.011120252833674016,0.029425563091267648,0.18344449788826322,0.017621854340621468,0.017661827425352605,-0.005521519071793879,0.023314049987177565,-0.003742421365915405,-0.003719068958241145,-0.559495351357131,0.008222660377255053,0.005292874278972626,0.0,0.0,0.0,-0.0403210071842075
Belarus,-16.700760456785147,16.06325318499313,-0.16747353589302572,0.3483561248397993,0.003342138540196604,0.1433921646470382,0.31419643735330904,0.015063180161700718,0.01177931053969461,-0.0008664305752859036,0.021436231069149603,0.05387726165284601,1.6693744608886618e-05,0.39704475428042896,0.7216914982550171,0.7216914982550171,0.0,0.0,0.0,-0.04906262807413686
Belgium,-90.63446666156588,39.02171895020295,-0.1894242024315651,0.2659245721313708,0.0014120319272170612,0.1584879402811712,0.27484615328199347,0.0,0.008302328478204668,0.002431605972463835,0.015978558190465897,0.2386150912453977,0.23861702849586885,1.1162866108349045,1.1273695295104247,1.1273695295104247,0.0,0.0,0.0,-0.031884503347179294
