COUNTRY,CAPACITY_MW,CAPEX
AMERICAN SAMOA,56,32695782
ANGUILLA,27,12522118
ANTIGUA & BARBUDA,98.1,43136405
ARUBA,235.1,90789111
BAHAMAS,685.9,367789396
BAHRAIN,6473.1,11218480618
BARBADOS,272.1,129850348
BELIZE,190.9,246783703
BERMUDA,193.6,70389583
BRITISH VIRGIN ISLANDS,69.9,26244830
CAPE VERDE,142.7,112996443
COMOROS,14.2,4821260
COOK ISLANDS,14.6,8042685
DOMINICA,25.6,24002910
DOMINICAN REPUBLIC,4328,3796154511
FIJI,331.6,483010130
GUAM,518.2,240208752
GUINEA-BISSAU,32.9,14670937
GUYANA,268.6,155521308
HAITI,448.4,223696330
JAMAICA,1348.9,787424726
KIRIBATI,9.5,4982963
MALDIVES,108.3,41265925
MARSHALL ISLANDS,39.1,15285248
MAURITIUS,894.7,737112830
MICRONESIA,39.3,20352430
MONTSERRAT,10.3,2870919
NAURU,7.2,3820062
NEW CALEDONIA,812.7,888773479
NIUE,2.1,884763
NORTHERN MARIANAS,109.7,36584707
PALAU,49.4,22453588
PAPUA NEW GUINEA,956.5,889191070
SAMOA,59.4,47664858
SAO TOME & PRINCIPE,36.3,26596355
SEYCHELLES,146.7,57484047
SINGAPORE,14511.4,#N/A
SOLOMON ISLANDS,59,27550125
ST KITTS & NEVIS,70.8,32197312
ST LUCIA,85.8,31402222
ST VINCENT & GRENADINES,62.1,32120418
SURINAME,525.6,303399692
TIMOR LESTE,293.8,136266345
TONGA,20,15622726
TRINIDAD & TOBAGO,2151.4,2448718243
TUVALU,6.4,4723945
