country,water
Belize,435258083.8
Comoros,200127052.2
Cook Islands,13644162.77
Dominica,102067778.6
Fiji,413515373.2
Guinea-Bissau,193791106.6
Guyana,242802611.2
Haiti,1271568092
Jamaica,4261406893
Kiribati,10827151.6
Maldives,205172529
Marshall Islands,7076136.868
Mauritius,1433294873
Micronesia,16005968.8
Nauru,4825551.426
Papua New Guinea,853610177.3
Saint Lucia,117061116.8
Saint Vincent and the Grenadines,101050957.6
Samoa,71776207.19
Sao Tome and Principe,65628173.34
Seychelles,135536026.1
Solomon Islands,50180032.51
Suriname,611061904.5
Tonga,32866554.22
Tuvalu,3013340.705
Vanuatu,37989860.6
